fromID,fromGroupID,fromName,fromIdo,fromKeido,toID,toGroupID,toName,toIdo,toKeido,time,routeID,routeName,r,g,b
1131201,1130101,東京,139.766103,35.681391,1131202,1130223,神田,139.770641,35.691173,2,11312,JR中央線(快速),223,100,54
1131202,1130223,神田,139.770641,35.691173,1131203,1131203,御茶ノ水,139.764955,35.699605,2,11312,JR中央線(快速),223,100,54
1131203,1131203,御茶ノ水,139.764955,35.699605,1131207,1131102,四ツ谷,139.730644,35.686041,5,11312,JR中央線(快速),223,100,54
1131207,1131102,四ツ谷,139.730644,35.686041,1131211,1130208,新宿,139.700464,35.689729,6,11312,JR中央線(快速),223,100,54
1131211,1130208,新宿,139.700464,35.689729,1131214,1131214,中野,139.665835,35.705765,5,11312,JR中央線(快速),223,100,54
1131214,1131214,中野,139.665835,35.705765,1131215,1131215,高円寺,139.649664,35.705326,1,11312,JR中央線(快速),223,100,54
1131215,1131215,高円寺,139.649664,35.705326,1131216,1131216,阿佐ケ谷,139.635868,35.704818,2,11312,JR中央線(快速),223,100,54
1131216,1131216,阿佐ケ谷,139.635868,35.704818,1131217,1131217,荻窪,139.620109,35.704523,2,11312,JR中央線(快速),223,100,54
1131217,1131217,荻窪,139.620109,35.704523,1131218,1131218,西荻窪,139.599361,35.703842,2,11312,JR中央線(快速),223,100,54
1131218,1131218,西荻窪,139.599361,35.703842,1131219,1131104,吉祥寺,139.579765,35.703119,2,11312,JR中央線(快速),223,100,54
1131219,1131104,吉祥寺,139.579765,35.703119,1131220,1131105,三鷹,139.560325,35.702683,2,11312,JR中央線(快速),223,100,54
1131220,1131105,三鷹,139.560325,35.702683,1131221,1131221,武蔵境,139.543402,35.702083,2,11312,JR中央線(快速),223,100,54
1131221,1131221,武蔵境,139.543402,35.702083,1131222,1131222,東小金井,139.524837,35.701643,3,11312,JR中央線(快速),223,100,54
1131222,1131222,東小金井,139.524837,35.701643,1131223,1131223,武蔵小金井,139.506483,35.701337,2,11312,JR中央線(快速),223,100,54
1131223,1131223,武蔵小金井,139.506483,35.701337,1131224,1131106,国分寺,139.480841,35.700123,3,11312,JR中央線(快速),223,100,54
1131224,1131106,国分寺,139.480841,35.700123,1131225,1130503,西国分寺,139.465994,35.699744,2,11312,JR中央線(快速),223,100,54
1131225,1130503,西国分寺,139.465994,35.699744,1131226,1131226,国立,139.44634,35.69923,2,11312,JR中央線(快速),223,100,54
1131226,1131226,国立,139.44634,35.69923,1131227,1130325,立川,139.413704,35.698202,4,11312,JR中央線(快速),223,100,54
1131227,1130325,立川,139.413704,35.698202,1131228,1131108,日野,139.39393,35.679244,3,11312,JR中央線(快速),223,100,54
1131228,1131108,日野,139.39393,35.679244,1131229,1131109,豊田,139.381495,35.659502,3,11312,JR中央線(快速),223,100,54
1131229,1131109,豊田,139.381495,35.659502,1131230,1130620,八王子,139.338998,35.655555,4,11312,JR中央線(快速),223,100,54
1131230,1130620,八王子,139.338998,35.655555,1131231,1131111,西八王子,139.31264,35.656621,2,11312,JR中央線(快速),223,100,54
1131231,1131111,西八王子,139.31264,35.656621,1131232,1131112,高尾,139.282288,35.642026,4,11312,JR中央線(快速),223,100,54
1131301,1131105,三鷹,139.560325,35.702683,1131302,1131104,吉祥寺,139.579765,35.703119,2,11313,JR中央・総武緩行線,249,214,72
1131302,1131104,吉祥寺,139.579765,35.703119,1131303,1131218,西荻窪,139.599361,35.703842,2,11313,JR中央・総武緩行線,249,214,72
1131303,1131218,西荻窪,139.599361,35.703842,1131304,1131217,荻窪,139.620109,35.704523,3,11313,JR中央・総武緩行線,249,214,72
1131304,1131217,荻窪,139.620109,35.704523,1131305,1131216,阿佐ケ谷,139.635868,35.704818,2,11313,JR中央・総武緩行線,249,214,72
1131305,1131216,阿佐ケ谷,139.635868,35.704818,1131306,1131215,高円寺,139.649664,35.705326,2,11313,JR中央・総武緩行線,249,214,72
1131306,1131215,高円寺,139.649664,35.705326,1131307,1131214,中野,139.665835,35.705765,2,11313,JR中央・総武緩行線,249,214,72
1131307,1131214,中野,139.665835,35.705765,1131308,1131308,東中野,139.684436,35.706529,3,11313,JR中央・総武緩行線,249,214,72
1131308,1131308,東中野,139.684436,35.706529,1131309,1131309,大久保,139.69732,35.700784,2,11313,JR中央・総武緩行線,249,214,72
1131309,1131309,大久保,139.69732,35.700784,1131310,1130208,新宿,139.700464,35.689729,3,11313,JR中央・総武緩行線,249,214,72
1131310,1130208,新宿,139.700464,35.689729,1131311,1130207,代々木,139.702042,35.683061,1,11313,JR中央・総武緩行線,249,214,72
1131311,1130207,代々木,139.702042,35.683061,1131312,1131312,千駄ケ谷,139.711644,35.681231,2,11313,JR中央・総武緩行線,249,214,72
1131312,1131312,千駄ケ谷,139.711644,35.681231,1131313,1131313,信濃町,139.720729,35.680031,2,11313,JR中央・総武緩行線,249,214,72
1131313,1131313,信濃町,139.720729,35.680031,1131314,1131102,四ツ谷,139.730644,35.686041,2,11313,JR中央・総武緩行線,249,214,72
1131314,1131102,四ツ谷,139.730644,35.686041,1131315,1131315,市ケ谷,139.735583,35.691,2,11313,JR中央・総武緩行線,249,214,72
1131315,1131315,市ケ谷,139.735583,35.691,1131316,1131316,飯田橋,139.745143,35.701835,2,11313,JR中央・総武緩行線,249,214,72
1131316,1131316,飯田橋,139.745143,35.701835,1131317,1131317,水道橋,139.754312,35.702039,2,11313,JR中央・総武緩行線,249,214,72
1131317,1131317,水道橋,139.754312,35.702039,1131318,1131203,御茶ノ水,139.764955,35.699605,2,11313,JR中央・総武緩行線,249,214,72
1131318,1131203,御茶ノ水,139.764955,35.699605,1131319,1130222,秋葉原,139.773288,35.698619,2,11313,JR中央・総武緩行線,249,214,72
1131319,1130222,秋葉原,139.773288,35.698619,1131320,1131320,浅草橋,139.784427,35.697403,2,11313,JR中央・総武緩行線,249,214,72
1131320,1131320,浅草橋,139.784427,35.697403,1131321,1131321,両国,139.793334,35.69579,2,11313,JR中央・総武緩行線,249,214,72
1131321,1131321,両国,139.793334,35.69579,1131322,1131322,錦糸町,139.814136,35.696802,3,11313,JR中央・総武緩行線,249,214,72
1131322,1131322,錦糸町,139.814136,35.696802,1131323,1131323,亀戸,139.826262,35.697345,2,11313,JR中央・総武緩行線,249,214,72
1131323,1131323,亀戸,139.826262,35.697345,1131324,1131324,平井,139.842181,35.70643,3,11313,JR中央・総武緩行線,249,214,72
1131324,1131324,平井,139.842181,35.70643,1131325,1131325,新小岩,139.857777,35.716903,2,11313,JR中央・総武緩行線,249,214,72
1131325,1131325,新小岩,139.857777,35.716903,1131326,1131326,小岩,139.881755,35.733207,3,11313,JR中央・総武緩行線,249,214,72
1131401,1130101,東京,139.766103,35.681391,1131402,1131402,新日本橋,139.77323,35.688687,2,11314,JR総武本線,249,214,72
1131402,1131402,新日本橋,139.77323,35.688687,1131403,1131403,馬喰町,139.78238,35.693365,2,11314,JR総武本線,249,214,72
1131403,1131403,馬喰町,139.78238,35.693365,1131404,1131322,錦糸町,139.814136,35.696802,4,11314,JR総武本線,249,214,72
1131404,1131322,錦糸町,139.814136,35.696802,1131405,1131325,新小岩,139.857777,35.716903,7,11314,JR総武本線,249,214,72
1131501,1130325,立川,139.413704,35.698202,1131502,1131502,西立川,139.393556,35.703526,4,11315,JR青梅線,223,100,54
1131502,1131502,西立川,139.393556,35.703526,1131503,1131503,東中神,139.384529,35.706337,1,11315,JR青梅線,223,100,54
1131503,1131503,東中神,139.384529,35.706337,1131504,1131504,中神,139.375816,35.709058,2,11315,JR青梅線,223,100,54
1131504,1131504,中神,139.375816,35.709058,1131505,1131505,昭島,139.361564,35.713305,2,11315,JR青梅線,223,100,54
1131505,1131505,昭島,139.361564,35.713305,1131506,1131506,拝島,139.343468,35.721278,3,11315,JR青梅線,223,100,54
1131506,1131506,拝島,139.343468,35.721278,1131507,1131507,牛浜,139.333677,35.734547,3,11315,JR青梅線,223,100,54
1131507,1131507,牛浜,139.333677,35.734547,1131508,1131508,福生,139.327763,35.742456,2,11315,JR青梅線,223,100,54
1131508,1131508,福生,139.327763,35.742456,1131509,1131509,羽村,139.316188,35.758073,2,11315,JR青梅線,223,100,54
1131509,1131509,羽村,139.316188,35.758073,1131510,1131510,小作,139.302233,35.776048,3,11315,JR青梅線,223,100,54
1131510,1131510,小作,139.302233,35.776048,1131511,1131511,河辺,139.284032,35.78473,3,11315,JR青梅線,223,100,54
1131511,1131511,河辺,139.284032,35.78473,1131512,1131512,東青梅,139.272841,35.789768,2,11315,JR青梅線,223,100,54
1131512,1131512,東青梅,139.272841,35.789768,1131513,1131513,青梅,139.258096,35.790512,3,11315,JR青梅線,223,100,54
1131513,1131513,青梅,139.258096,35.790512,1131514,1131514,宮ノ平,139.237289,35.787545,3,11315,JR青梅線,223,100,54
1131514,1131514,宮ノ平,139.237289,35.787545,1131515,1131515,日向和田,139.229515,35.788665,2,11315,JR青梅線,223,100,54
1131515,1131515,日向和田,139.229515,35.788665,1131516,1131516,石神前,139.225096,35.79683,2,11315,JR青梅線,223,100,54
1131516,1131516,石神前,139.225096,35.79683,1131517,1131517,二俣尾,139.216161,35.803946,2,11315,JR青梅線,223,100,54
1131517,1131517,二俣尾,139.216161,35.803946,1131518,1131518,軍畑,139.207431,35.807382,2,11315,JR青梅線,223,100,54
1131518,1131518,軍畑,139.207431,35.807382,1131519,1131519,沢井,139.193324,35.80594,2,11315,JR青梅線,223,100,54
1131519,1131519,沢井,139.193324,35.80594,1131520,1131520,御嶽,139.182589,35.801468,3,11315,JR青梅線,223,100,54
1131520,1131520,御嶽,139.182589,35.801468,1131521,1131521,川井,139.16429,35.813697,4,11315,JR青梅線,223,100,54
1131521,1131521,川井,139.16429,35.813697,1131522,1131522,古里,139.152102,35.816247,3,11315,JR青梅線,223,100,54
1131522,1131522,古里,139.152102,35.816247,1131523,1131523,鳩ノ巣,139.128932,35.815127,4,11315,JR青梅線,223,100,54
1131523,1131523,鳩ノ巣,139.128932,35.815127,1131524,1131524,白丸,139.114861,35.811735,2,11315,JR青梅線,223,100,54
