fromID,fromGroupID,fromName,toID,toGroupID,toName,time,routeID,routeName
1132004,1132004,南千住,1132005,1132005,北千住,2,11320,JR常磐線(上野～取手)
1132005,1132005,北千住,1132006,1132006,綾瀬,4,11320,JR常磐線(上野～取手)
1132006,1132006,綾瀬,1132007,1132007,亀有,2,11320,JR常磐線(上野～取手)
1132007,1132007,亀有,1132008,1132008,金町,3,11320,JR常磐線(上野～取手)
1132101,1130201,大崎,1132102,1130204,恵比寿,5,11321,JR埼京線
1132102,1130204,恵比寿,1132103,1130205,渋谷,2,11321,JR埼京線
1132103,1130205,渋谷,1132104,1130208,新宿,5,11321,JR埼京線
1132104,1130208,新宿,1132105,1130212,池袋,9,11321,JR埼京線
1132105,1130212,池袋,1132106,1132106,板橋,2,11321,JR埼京線
1132106,1132106,板橋,1132107,1132107,十条,3,11321,JR埼京線
1132107,1132107,十条,1132108,1131903,赤羽,3,11321,JR埼京線
1132108,1131903,赤羽,1132109,1132109,北赤羽,2,11321,JR埼京線
1132109,1132109,北赤羽,1132110,1132110,浮間舟渡,2,11321,JR埼京線
1132301,1130220,上野,1132302,1131902,尾久,5,11323,JR高崎線
1132302,1131902,尾久,1132303,1131903,赤羽,5,11323,JR高崎線
1132601,1130101,東京,1132602,1132602,八丁堀,2,11326,JR京葉線
1132602,1132602,八丁堀,1132603,1132603,越中島,2,11326,JR京葉線
1132603,1132603,越中島,1132604,1132604,潮見,3,11326,JR京葉線
1132604,1132604,潮見,1132605,1132605,新木場,2,11326,JR京葉線
1132605,1132605,新木場,1132606,1132606,葛西臨海公園,4,11326,JR京葉線
1132805,1130212,池袋,1132806,1130208,新宿,6,11328,JR成田エクスプレス
1132806,1130208,新宿,1132807,1130205,渋谷,5,11328,JR成田エクスプレス
1132807,1130205,渋谷,1132808,1130103,品川,12,11328,JR成田エクスプレス
1132808,1130103,品川,1132809,1130101,東京,8,11328,JR成田エクスプレス
1132815,1131112,高尾,1132816,1130620,八王子,7,11328,JR成田エクスプレス
1132816,1130620,八王子,1132817,1130325,立川,11,11328,JR成田エクスプレス
1132817,1130325,立川,1132818,1131106,国分寺,5,11328,JR成田エクスプレス
1132818,1131106,国分寺,1132819,1131105,三鷹,10,11328,JR成田エクスプレス
1132819,1131105,三鷹,1132820,1131104,吉祥寺,2,11328,JR成田エクスプレス
1132820,1131104,吉祥寺,1132806,1130208,新宿,16,11328,JR成田エクスプレス
1133210,1131903,赤羽,1133211,1133211,東十条,3,11332,JR京浜東北線
1133211,1133211,東十条,1133212,1133212,王子,3,11332,JR京浜東北線
1133212,1133212,王子,1133213,1133213,上中里,2,11332,JR京浜東北線
1133213,1133213,上中里,1133214,1130216,田端,3,11332,JR京浜東北線
1133214,1130216,田端,1133215,1130217,西日暮里,1,11332,JR京浜東北線
1133215,1130217,西日暮里,1133216,1130218,日暮里,2,11332,JR京浜東北線
1133216,1130218,日暮里,1133217,1130219,鶯谷,2,11332,JR京浜東北線
1133217,1130219,鶯谷,1133218,1130220,上野,2,11332,JR京浜東北線
1133218,1130220,上野,1133219,1130221,御徒町,1,11332,JR京浜東北線
1133219,1130221,御徒町,1133220,1130222,秋葉原,2,11332,JR京浜東北線
1133220,1130222,秋葉原,1133221,1130223,神田,2,11332,JR京浜東北線
1133221,1130223,神田,1133222,1130101,東京,2,11332,JR京浜東北線
1133222,1130101,東京,1133223,1130225,有楽町,2,11332,JR京浜東北線
1133223,1130225,有楽町,1133224,1130102,新橋,2,11332,JR京浜東北線
1133224,1130102,新橋,1133225,1130227,浜松町,3,11332,JR京浜東北線
1133225,1130227,浜松町,1133226,1130228,田町,3,11332,JR京浜東北線
1133226,1130228,田町,1133227,1130103,品川,4,11332,JR京浜東北線
1133227,1130103,品川,1133228,1133228,大井町,3,11332,JR京浜東北線
1133228,1133228,大井町,1133229,1133229,大森,3,11332,JR京浜東北線
1133229,1133229,大森,1133230,1133230,蒲田,4,11332,JR京浜東北線
1133302,1131903,赤羽,1133303,1130212,池袋,9,11333,JR湘南新宿ライン
1133303,1130212,池袋,1133304,1130208,新宿,6,11333,JR湘南新宿ライン
1133304,1130208,新宿,1133305,1130205,渋谷,5,11333,JR湘南新宿ライン
1133305,1130205,渋谷,1133306,1130204,恵比寿,2,11333,JR湘南新宿ライン
1133306,1130204,恵比寿,1133307,1130201,大崎,6,11333,JR湘南新宿ライン
1133307,1130201,大崎,1133308,1130804,西大井,3,11333,JR湘南新宿ライン
1134301,1130101,東京,1134302,1130220,上野,5,11343,上野東京ライン
2100101,1130212,池袋,2100102,2100102,北池袋,1,21001,東武東上線
2100102,2100102,北池袋,2100103,2100103,下板橋,1,21001,東武東上線
2100103,2100103,下板橋,2100104,2100104,大山,2,21001,東武東上線
2100104,2100104,大山,2100105,2100105,中板橋,2,21001,東武東上線
2100105,2100105,中板橋,2100106,2100106,ときわ台,1,21001,東武東上線
2100106,2100106,ときわ台,2100107,2100107,上板橋,2,21001,東武東上線
2100107,2100107,上板橋,2100108,2100108,東武練馬,2,21001,東武東上線
2100108,2100108,東武練馬,2100109,2100109,下赤塚,2,21001,東武東上線
2100109,2100109,下赤塚,2100110,2100110,成増,1,21001,東武東上線
2100201,2100201,浅草,2100202,2100202,とうきょうスカイツリー,3,21002,東武伊勢崎線
2100202,2100202,とうきょうスカイツリー,2100203,2100203,押上〈スカイツリー前〉,2,21002,東武伊勢崎線
2100203,2100203,押上〈スカイツリー前〉,2100204,2100204,曳舟,8,21002,東武伊勢崎線
2100204,2100204,曳舟,2100205,2100205,東向島,1,21002,東武伊勢崎線
2100205,2100205,東向島,2100206,2100206,鐘ヶ淵,2,21002,東武伊勢崎線
2100206,2100206,鐘ヶ淵,2100207,2100207,堀切,2,21002,東武伊勢崎線
2100207,2100207,堀切,2100208,2100208,牛田,2,21002,東武伊勢崎線
